Farm,Management,Block,Age,Cup Code,week,Dry Dirt Weight (g),Water Weight (g),Water Content (%/g),Soil Core Weight (g),Soil Core Volume (cm^3),Soil Density (Weight/Volume),Volume of water (cm^3),Soil cup volume (cm^3) (Weight (g)/ Soil density),% soil moisture (volume of water/volume of soil)
northhowell,flailed,3,40,NH P3F W2,2,45.83,6.65,12.6714939,6.335746951,38.6,0.1641385221,6.65,279.2153812,0.02381673951
northhowell,scraped,3,40,NH P3S W2,2,45.83,11.61,20.21239554,10.10619777,38.6,0.2618185951,11.61,175.0448626,0.06632585401
northhowell,unmanaged,4,40,NH P4U W2,2,45.46,13.08,22.34369662,11.17184831,38.6,0.289426122,13.08,157.0694438,0.08327526783
northhowell,flailed,4,40,NH P4F W2,2,52.65,8.62,14.06887547,7.034437735,38.6,0.1822393195,8.62,288.9058197,0.02983671291
northhowell,scraped,4,40,NH P4S W2,2,52.11,6.5,11.09025764,5.545128818,38.6,0.143656187,6.5,362.7410771,0.01791911755
northhowell,unmanaged,5,40,NH P5U W2,2,,,,,,,,,
northhowell,flailed,5,40,NH P5F W2,2,,,,,,,,,
northhowell,scraped,5,40,NH P5S W2,2,,,,,,,,,
northhowell,unmanaged,6,40,NH P6U W2,2,,,,,,,,,
northhowell,flailed,6,40,NH P6F W2,2,,,,,,,,,
northhowell,scraped,6,40,NH P6S W2,2,,,,,,,,,
mybrother,unmanaged,1,15,,1,,,,,,,,,0.198
mybrother,flailed,1,15,,1,,,,,,,,,0.209
mybrother,scraped,1,15,,1,,,,,,,,,0.226
mybrother,unmanaged,2,15,,1,,,,,,,,,0.245
mybrother,flailed,2,15,,1,,,,,,,,,0.234
mybrother,scraped,2,15,,1,,,,,,,,,0.238
mybrother,unmanaged,3,15,,1,,,,,,,,,0.201
mybrother,flailed,3,15,,1,,,,,,,,,0.182
mybrother,scraped,3,15,,1,,,,,,,,,0.2
mybrother,unmanaged,4,15,,1,,,,,,,,,0.223
mybrother,flailed,4,15,,1,,,,,,,,,0.205
mybrother,scraped,4,15,,1,,,,,,,,,0.193
mybrother,unmanaged,5,15,,1,,,,,,,,,0.237
mybrother,flailed,5,15,,1,,,,,,,,,0.207
mybrother,scraped,5,15,,1,,,,,,,,,0.231
mybrother,unmanaged,6,15,,1,,,,,,,,,0.209
mybrother,flailed,6,15,,1,,,,,,,,,0.184
